string
description: W
filedata_intensity/210205_PM040653_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
785.4004516601562 49467513067.93584
785.6138916015625 49111831954.76365
785.827392578125 48570748742.586914
786.041015625 48412077049.89238
786.2547607421875 48520386897.38294
786.4686279296875 48422936450.09177
786.6824951171875 48220143993.875786
786.8965454101562 48063784716.47054
787.110595703125 47776218535.66165
787.3248291015625 47851453918.34793
787.5391235351562 47976951056.005005
787.7535400390625 47689544059.86152
787.968017578125 47371654814.258255
788.1826171875 47130372279.06923
788.3973388671875 47205447699.33727
788.6121215820312 47453440616.52797
788.8270263671875 47448561939.10238
789.0419921875 47253045086.01348
789.257080078125 47354572306.375626
789.4722900390625 47190756225.36966
789.6876220703125 46777752990.53738
789.9030151367188 46731100566.7322
790.1184692382812 46553337750.2611
790.3340454101562 46582739845.23487
790.5498046875 46820695973.023544
790.765625 46654714373.43693
790.9814453125 46571539639.23157
791.1974487304688 46611735631.11232
791.4135131835938 46602818718.770775
791.6296997070312 46514657692.2529
791.8460083007812 46518278425.89849
792.0624389648438 46746914239.21585
792.2788696289062 46787416779.439964
792.4954833984375 46750141684.50509
792.712158203125 46833614808.60683
792.928955078125 46732650099.891624
793.1458129882812 46594624631.314705
793.36279296875 46764394596.565636
793.579833984375 46818158141.97753
793.7970581054688 46783681608.291664
794.0143432617188 46813357835.14715
794.2317504882812 46915015570.44294
794.4492797851562 47010721142.9908
794.6668090820312 46888181152.76351
794.8844604492188 47087666747.09225
795.102294921875 46993507199.247
795.3201904296875 47131236355.44185
795.5381469726562 46948992768.06808
795.7562255859375 46849176950.97062
795.9744873046875 47261532169.004654
796.1927490234375 47305831507.289635
796.4111328125 47112422865.05061
796.6295776367188 47356373446.34623
796.8482055664062 47570098822.282845
797.06689453125 47877887230.54188
797.2857055664062 47737628402.32981
797.504638671875 47608794035.84565
797.7235717773438 47946434372.506325
797.9426879882812 48204374793.67992
798.161865234375 48233054186.90439
798.3812255859375 48107311567.82848
798.6006469726562 47968493669.19967
798.8201293945312 47896397696.15242
799.0397338867188 47768201429.09159
799.2594604492188 47761241046.082726
799.4793090820312 47421831170.76584
799.6991577148438 47065827039.1079
799.9191284179688 47250010517.198555
800.1392822265625 47381243975.86129
800.3595581054688 47326414938.79632
800.5798950195312 47044820379.058334
800.80029296875 46793725502.727
801.0208129882812 46922994342.665115
801.241455078125 46967322069.511894
801.462158203125 46863473669.40461
801.6830444335938 46590775704.24229
801.9039306640625 46362457802.437515
