string
description: Fe
filedata_intensity/210205_PM012548_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
823.371826171875 156733500527.0324
823.60302734375 175710331284.85632
823.8341674804688 191841944646.4024
824.0655517578125 204462079243.4843
824.2970581054688 215082609199.75143
824.528564453125 222763314624.36978
824.76025390625 232472468967.0997
824.9921264648438 249386703121.39536
825.2239379882812 279486249852.1976
825.4559326171875 328303352598.8791
825.6881103515625 395421419121.6473
825.9202880859375 477027102307.5731
826.1527099609375 565746396043.8837
826.3851318359375 646519343320.3599
826.61767578125 703440160536.7855
826.850341796875 727001189305.3798
827.0831298828125 710988866491.0665
827.3159790039062 653805272001.036
827.5490112304688 562594161814.4623
827.7821044921875 453298623992.91486
828.0153198242188 343130296928.16614
828.2487182617188 246154160754.72827
828.4821166992188 168125086494.3465
828.7156982421875 112047510873.68726
828.9494018554688 75105291749.10814
829.1831665039062 53102608036.85865
829.4170532226562 42145659974.49932
829.6510009765625 36896726552.587524
829.8851928710938 33720221177.10963
830.119384765625 31234887338.545692
830.3536987304688 28924405904.96641
830.5881958007812 26691371525.53727
830.82275390625 25402324321.29947
831.057373046875 25326364653.473026
831.292236328125 26497817831.121685
831.5271606445312 28429903033.730427
831.7620849609375 29814292074.047333
831.9972534179688 30719035207.62056
832.232421875 30828778947.435528
832.4678344726562 30055976188.76046
832.7033081054688 28672983879.440758
832.9389038085938 27296816446.55671
833.1746215820312 26364110110.72472
833.410400390625 26099225419.135414
833.646240234375 26262192782.720325
833.88232421875 26969035582.35316
834.1184692382812 28891392425.614136
834.354736328125 31211773493.549004
834.5911254882812 33596959456.38391
834.8275756835938 35509137054.23563
835.0640869140625 36665702998.77232
835.3009033203125 36455630310.75474
835.5376586914062 35258314226.22051
835.7745971679688 32801022174.57227
836.0115966796875 29759906280.1388
836.2488403320312 27578899185.95641
836.486083984375 26883866658.2252
836.7235107421875 27919065669.666748
836.9609985351562 30053824133.675804
837.1986083984375 32836220925.885735
837.4363403320312 36110335548.29809
837.6741333007812 39706193903.01531
837.912109375 43806411443.07327
838.1502075195312 47483330215.826485
